id,minute,second,team,player,start_x,start_y,end_x,end_y,pass_length_m,pass_angle_rad,pass_type,pass_height,pass_outcome,pass_success,defenders_near_5m,teammates_near_5m,defenders_near_10m,teammates_near_10m
221b0c8d-6386-4ae8-bb4a-a1dc98742312,0,3,Werder Bremen,Nick Woltemade,61,40.1,59,40.9,2.1540659228538006,2.7610862764774295,Kick Off,Ground Pass,Complete,1,0,0,0,0
ff56e821-21e9-4cef-ba2a-7eb5eb3769c6,0,4,Werder Bremen,Marvin Ducksch,59,40.6,35.1,43.2,24.04100663449848,3.0332321670086158,Unknown,Ground Pass,Complete,1,0,1,0,1
4464cb75-f45f-4508-8444-2560d1625d06,0,7,Werder Bremen,Christian Groß,35.1,43.7,33.2,63.8,20.18960128382925,1.6650436425521085,Unknown,Ground Pass,Complete,1,0,0,0,1
b88bbf46-30c8-4c60-b8cc-6d855f94f990,0,10,Werder Bremen,Julián Malatini,32.7,65.3,44.5,77.8,17.189822570346674,0.8141967836378996,Unknown,Ground Pass,Complete,1,0,0,0,1
63a6070e-0c56-4615-8bab-8f6792d5562a,0,11,Werder Bremen,Mitchell Weiser,44.5,77.5,62.2,65.8,21.217445652104313,-0.5840810550228076,Unknown,Ground Pass,Complete,1,0,0,0,0
27a4530a-65a3-4a3f-bff3-450ea8c03503,0,13,Werder Bremen,Nick Woltemade,58.3,66,53.5,70,6.248199740725322,2.4468543773930898,Unknown,Ground Pass,Complete,1,2,1,3,2
9d2ca811-c1c1-4060-ae7f-f8e28c1aef53,0,14,Werder Bremen,Mitchell Weiser,53.5,70,66.1,64.6,13.708391590555031,-0.404891786285084,Unknown,Ground Pass,Complete,1,0,1,3,2
7fd797d5-530c-4e27-bac7-8fa097c95abc,0,16,Werder Bremen,Marvin Ducksch,66.4,63.8,61.7,58.6,7.009279563550022,-2.3057323161754897,Unknown,Ground Pass,Complete,1,1,0,4,3
76ebbb25-3467-413b-8497-f3e38f998e57,0,17,Werder Bremen,Mitchell Weiser,62.7,55.2,86.8,36.9,30.26053535547578,-0.6494494854292369,Unknown,Ground Pass,Incomplete,0,0,0,0,0
b8ea5d17-518b-4f87-86cf-557d57345a23,0,19,Bayer Leverkusen,Nathan Tella,33.3,43.2,8.5,33.8,26.521689237301608,-2.7792915478546547,Interception,Ground Pass,Complete,1,0,0,0,0
147de3eb-2cae-479d-be6f-e0e1e2dc30de,0,23,Bayer Leverkusen,Lukáš Hrádecký,8.5,33.8,15.1,21.5,13.958868148958208,-1.0783105609229715,Unknown,Ground Pass,Complete,1,0,1,0,1
1d43d9bb-9f3e-4ee1-85c8-1773543caa18,0,27,Bayer Leverkusen,Edmond Fayçal Tapsoba,22.3,19.5,38.1,19.5,15.8,0,Unknown,Ground Pass,Complete,1,0,0,0,0
ba58c1f0-2eb3-4a70-86e3-50cea43cb3b8,0,28,Bayer Leverkusen,Robert Andrich,38.1,19.5,29.9,19.5,8.200000000000003,3.141592653589793,Unknown,Ground Pass,Complete,1,0,0,0,2
029cd118-dc2a-4e3d-aa44-39288ac3e700,0,37,Bayer Leverkusen,Edmond Fayçal Tapsoba,48.1,28.6,48.6,49.7,21.105923339195563,1.547104078324472,Unknown,Ground Pass,Complete,1,0,1,0,2
75b4f810-0483-47f7-b87f-dfab064b2781,0,39,Bayer Leverkusen,Jonathan Tah,54.5,54.3,56.4,66.1,11.951987282456416,1.4111496571342352,Unknown,Ground Pass,Complete,1,0,0,0,0
cd460252-ecf1-4f5e-a65e-f2919175a0f2,0,41,Bayer Leverkusen,Odilon Kossonou,56.6,66.6,49.4,56.4,12.485191228010885,-2.1854592787170626,Unknown,Ground Pass,Complete,1,0,0,0,0
